Acatos,Sylvio,Acatos_Sylvio
Altwegg,Jürg,Altwegg_Jürg
Anet,Daniel,Anet_Daniel
Anex,Georges,Anex_Georges
ATS,,ATS
Auberjonois,René,Auberjonois_René
Aubert,Claude,Aubert_Claude
B.,Gr.,B._Gr.
B.,L.,B._L.
Barilli,Bruno,Barilli_Bruno
Béguin,Albert,Béguin_Albert
Bergé,René,Bergé_René
Bergengruen,Werner,Bergengruen_Werner
Blanc,Maurice,Blanc_Maurice
Boller,Willy,Boller_Willy
Bonnard,Olivier,Bonnard_Olivier
Borgeaud,Georges,Borgeaud_Georges
Boulanger,Mousse,Boulanger_Mousse
Bounoure,Gabriel,Bounoure_Gabriel
Brentano,Clemens,Brentano_Clemens
Bridel,Yves,Bridel_Yves
Brock-Sulzer,Elisabeth,Brock-Sulzer_Elisabeth
Bucher,Werner,Bucher_Werner
Cardarelli,Vincenzo,Cardarelli_Vincenzo
Chappaz,Maurice,Chappaz_Maurice
Chastonay,Jacques de,Chastonay_Jacques_de
Chessex,Jacques,Chessex_Jacques
Clerc,Charly,Clerc_Charly
Collectif,,Collectif
Colomb,Catherine,Colomb_Catherine
Cornuz,Jeanlouis,Cornuz_Jeanlouis
Crisinel,Edmond-Henri,Crisinel_Edmond-Henri
d'Aguila,Carlos,dAguila_Carlos
Delapierre,Roger,Delapierre_Roger
Depoissier,Claude,Depoissier_Claude
Deriex,Suzanne,Deriex_Suzanne
Dürer,Albrecht,Dürer_Albrecht
Eichendorff,Joseph von,Eichendorff_Joseph_von
Ernest,Dutoit,Ernest_Dutoit
Fischer,Hans,Fischer_Hans
Franz,Werfel,Franz_Werfel
G.,,G.
G.,R.,G._R.
Galland,Bertil,Galland_Bertil
Gander,Bernard,Gander_Bernard
Garzarolli,Richard,Garzarolli_Richard
Geiser,Bernhard,Geiser_Bernhard
Goethe,Johann Wolfgang von,Goethe_Johann_Wolfgang_von
Gotthelf,Jeremias,Gotthelf_Jeremias
Grimm,(frères),Grimm_frères
Gsteiger,Manfred,Gsteiger_Manfred
Gudmundsson,Kristmann,Gudmundsson_Kristmann
H.,S.,H._S.
Hesse,Hermann,Hesse_Hermann
Heym,Georg,Heym_Georg
Hölderlin,Friedrich,Hölderlin_Friedrich
Hollaert,Grietje,Hollaert_Grietje
Humeau,Edmond,Humeau_Edmond
Huttinger,Edouard,Huttinger_Edouard
I.d.B.,Marie-Anne,I.d.B._Marie-Anne
Jaccottet,Philippe,Jaccottet_Philippe
Jackson,John E.,Jackson_John_E.
Jakubec,Doris,Jakubec_Doris
Jaquier,Claire,Jaquier_Claire
Jean,Guérin,Jean_Guérin
Johannes,Oeschger,Johannes_Oeschger
Keller,Urs,Keller_Urs
Kobilijac,Ursula,Kobilijac_Ursula
Lacôte,René,Lacôte_René
Laederach,Monique,Laederach_Monique
Landry,Charles-François,Landry_Charles-François
Leisinger,Hermann,Leisinger_Hermann
Lejeune,Robert,Lejeune_Robert
Leopardi,Giacomo,Leopardi_Giacomo
Le promeneur solitaire,,Le_promeneur_solitaire
Lossier,Jean-Georges,Lossier_Jean-Georges
Tieck,Louis,Tieck_Louis
M.,M.,M._M.
Martin,Annie,Martin_Annie
Martin,Vio,Martin_Vio
Martinet,Édouard,Martinet_Édouard
Martinet,Jean-Pierre,Martinet_Jean-Pierre
Matthey,Pierre-Louis,Matthey_Pierre-Louis
Mercanton,Jacques,Mercanton_Jacques
Montale,Eugenio,Montale_Eugenio
Müller,Wilhelm,Müller_Wilhelm
Muret,Colette,Muret_Colette
Nicole,Georges,Nicole_Georges
Nicole,Jean,Nicole_Jean
Nietzsche,Friedrich,Nietzsche_Friedrich
Novalis,,Novalis
Nr.,J.,Nr._J.
Pache,Jean,Pache_Jean
Pache,Roger,Pache_Roger
Palézieux,Gérard de,Palézieux_Gérard_de
Paulhan,Jean,Paulhan_Jean
Pe.,J.,Pe._J.
Perrochon,Henri,Perrochon_Henri
Pittet,Raymond,Pittet_Raymond
Platen,August von,Platen_August_von
Ramuz,Charles Ferdinand,Ramuz_Charles_Ferdinand
Raymond,Marcel,Raymond_Marcel
Rilke,Rainer Maria,Rilke_Rainer_Maria
Robert,Steven-Paul,Robert_Steven-Paul
Rolland de Renéville,André,Rolland_de_Renéville_André
Roud,Gustave,Roud_Gustave
Roud,Gustave (pas sûr),Roud_Gustave_pas_sûr
Roud,Gustave (signé Adrien Delarze),Roud_Gustave_signé_Adrien_Delarze
Roud,Gustave (signé L. V.),Roud_Gustave_signé_L._V.
Roud,Gustave (signé O. C.),Roud_Gustave_signé_O._C.
s.i.a,,s.i.a
s.n.a.,,s.n.a.
Sainte Hildegarde,,Sainte_Hildegarde
Salem,Gilbert,Salem_Gilbert
Santschi,Madeleine,Santschi_Madeleine
Schnyder,Peter,Schnyder_Peter
Schuh,Gotthard,Schuh_Gotthard
Schwendimann,Max A.,Schwendimann_Max_A.
Simond,Daniel,Simond_Daniel
Tâche,Pierre-Alain,Tâche_Pierre-Alain
Tauxe,Henri-Charles,Tauxe_Henri-Charles
Textes égyptiens,,Textes_égyptiens
Titus-Carmel,Gérard,Titus-Carmel_Gérard
Trakl,Georg,Trakl_Georg
V.,Ph.,V._Ph.
Vincent,Gilbert,Vincent_Gilbert
Vuilleumier,Jean,Vuilleumier_Jean
Weber,Werner,Weber_Werner
Weber-Perret,Myrian,Weber-Perret_Myrian
Werfel,Franz,Werfel_Franz
Wyrsch,Jakob,Wyrsch_Jakob
D. Sueur,Yves,D._Sueur_Yves
