Vevey,Aire
Lausanne,Amis de C. F. Landry
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne,Atelier Saint-Prex et Jean Genoud
Lausanne,Au Verseau
Vevey,Bertil Galland
Lausanne,Bibliothèque des Arts
,Chambre économique du Jura
Lausanne,Clairefontaine
Paris,Corti
Nyon,Cyclades
Paris,Delpire
Leysin,Edition du Lien
Lausanne,Editions Vie
,Editions du Comte-Vert
Sèvres,FIPF
Paris,Fario
Saint-Clément-de-Rivière (Hérault),Fata Morgana
Montpellier,Fata Morgana
Montricher,Fondation Jan Michalski pour l'écriture et la littérature
Paris,Gallimard
Paris,"Gallimard (""Les Cahiers de la NRF"")"
Lausanne,Guilde du livre
Paris,"Horizons de France, “Champs”"
Lausanne,Imprimerie Held
Gollion,Infolio
Bâle,J. R. Geigy
Paris,J.-M. Place
Bâle,J.R. Geigy
Paris,"Jean Guérin est un pseudonyme derrière lequel se cachent tous les membres du comité du prériodique, mais surtout Paulhan, comme c'est le cas ici."
Paris,José Corti
Berne,Kandelaber Verlag
Vevey,L'Aire
Lausanne,L'Aire
Lausanne,"L'Aire (""Coopérative Rencontre"")"
Lausanne,L'Âge d'Homme
Lausanne,L'Âge d'homme
Neuchâtel,La Baconnière
Lausanne,La Bibliothèque des Arts
Genève,La Dogana
Paris,La Délirante
Lausanne,La Guilde du Livre
Lausanne,La Guilde du livre
Lausanne et Carrouge,La Guilde du livre
,La Guilde du livre
Lyon,La Manufacture
Lausanne,"La Suisse, Société d'assurances"
Lausanne,Le Verseau
Marseille,Les Cahiers du Sud
Etoy,Les Chantres
Lausanne,Max Roth
Lausanne,Mermod
Lausanne,"Mermod (""Aujourd'hui"")"
Lausanne,Musée cantonal des Beaux-Arts
Vevey,Musée des Beaux-Arts
Paris,"NRF, Bibliothèque de la Pléiade"
PLACE,PUBLISHER
Albeuve,Paul Castella
Lausanne,Payot
Dorigny,"Payot, Centre de recherches sur les lettres romandes"
New York et alii,Peter Lang
Genève,Pierre Cailler
Paris,"Pierre Seghers, coll. Poètes d'aujourd'hui, no 173"
Lausanne,Pour l'Art
Strasbourg,Presse universitaire de Strasbourg
Lausanne,Raynald Métraux
Lausanne,Rencontre
[Zurich],Schweizer Bücherfreunde
Genève,Slatkine
Lausanne,"Société de la feuille d'avis de Lausanne, coll. Le Livre du Mois"
Namur,Sources - Revue de la Maison de la Poésie
Brougg,Union suisse des paysans
Lausanne,V. Porchet
,Zofingue
Saint-Gall,Zollikofer
Genève-Carrouge,Zoé
Carouge-Genève,Zoé
Genève,Zoé
,s.n.é.
Lausanne,Éditions Clairefontaine Lausanne 
Moudon,Éditions Empreintes
Lausanne,Éditions Paroles Lausanne
Lausanne,Éditions Rencontre
Lausanne,Éditions de Mon Repos
Porrentruy,Éditions des Portes de France
Lausanne,Éditions des Terreaux
Lausanne,Études de lettres
